
2019-04-28 15:35:03 : کد نماد			
2019-04-28 15:35:03 : IRB5IKCO8751	اوراق مشاركت ايران‌ خودرو		18719101
2019-04-28 15:35:03 : IRO1GSKE0001	گسترش‌صنايع‌وخدمات‌كشاورزي‌		تكشا
2019-04-28 15:35:03 : IRR1GSKE0101	ح . صنايع‌وخدمات‌كشاورزي‌		تكشاح
2019-04-28 15:35:03 : IRO1COMB0001	كمباين‌ سازي‌ ايران‌		تكمبا
2019-04-28 15:35:03 : IRR1COMB0101	ح . كمباين‌ سازي‌ ايران‌		تكمباح
2019-04-28 15:35:03 : IRO1TKNO0001	تكنوتار		تكنو
2019-04-28 15:35:03 : IRR1TKNO0101	ح . تكنوتار		تكنوح
2019-04-28 15:35:03 : IRO1MNMH0001	ماشين‌سازي‌نيرومحركه‌		تمحركه
2019-04-28 15:35:03 : IRR1MNMH0101	ح . ماشين‌سازي‌نيرومحركه‌		تمحركهح
2019-04-28 15:35:03 : IRO1TNOV0001	تامين سرمايه نوين		تنوين
2019-04-28 15:35:03 : IRO1DTIP0001	سرمايه گذاري دارويي تامين		تيپيكو
2019-04-28 15:35:03 : IRO1ABAD0001	توريستي ورفاهي آبادگران ايران		ثاباد
2019-04-28 15:35:03 : IRR1ABAD0101	ح . ‌توريستي‌ورفاهي‌آبادگران‌		ثابادح
2019-04-28 15:35:03 : IRO1BSTE0001	بين‌المللي‌توسعه‌ساختمان		ثاخت
2019-04-28 15:35:03 : IRR1BSTE0101	ح . بين‌المللي‌توسعه‌ساختمان		ثاختح
2019-04-28 15:35:03 : IRO1SAJN0001	سخت‌ آژند		ثاژن
2019-04-28 15:35:03 : IRR1SAJN0101	ح . سخت‌ آژند		ثاژنح
2019-04-28 15:35:03 : IRO1SESF0001	ساختمان‌ اصفهان‌		ثاصفا
2019-04-28 15:35:03 : IRR1SESF0101	ح . ‌ ساختمان‌ اصفهان‌		ثاصفاح
2019-04-28 15:35:03 : IRO1SGOS0001	سامان‌ گستراصفهان‌		ثامان
2019-04-28 15:35:03 : IRR1SGOS0101	ح . سامان‌ گستراصفهان‌		ثامانح
2019-04-28 15:35:03 : IRO1SAHD0001	سرمايه‌ گذاري‌ شاهد		ثشاهد
2019-04-28 15:35:03 : IRR1SAHD0101	ح . سرمايه‌ گذاري‌ شاهد		ثشاهدح
2019-04-28 15:35:03 : IRO1PMSZ0001	سرمايه گذاري مسكن شمال شرق		ثشرق
2019-04-28 15:35:03 : IRR1PMSZ0101	ح. سرمايه گذاري مسكن شمال شرق		ثشرقح
2019-04-28 15:35:03 : IRO1OFRS0001	عمران‌وتوسعه‌فارس‌		ثفارس
2019-04-28 15:35:03 : IRR1OFRS0101	ح . عمران‌وتوسعه‌فارس‌		ثفارسح
2019-04-28 15:35:03 : IRO1MSKN0001	سرمايه‌گذاري‌ مسكن‌		ثمسكن
2019-04-28 15:35:03 : IRR1MSKN0101	ح . سرمايه‌گذاري‌ مسكن‌		ثمسكنح
2019-04-28 15:35:03 : IRO1BMLI0001	بين المللي ساختمان و صنعت ملي		ثملي
2019-04-28 15:35:03 : IRO1NSTH0001	نوسازي‌وساختمان‌تهران‌		ثنوسا
2019-04-28 15:35:03 : IRR1NSTH0101	ح . نوسازي‌وساختمان‌تهران‌		ثنوساح
2019-04-28 15:35:03 : IRO1PJMZ0001	پتروشيمي جم		جم
2019-04-28 15:35:03 : IRO1JPPC0001	پلي پروپيلن جم - جم پيلن		جم پيلن
2019-04-28 15:35:03 : IRR1PJMZ0101	ح . پتروشيمي جم		جمح
2019-04-28 15:35:03 : IRO1OFST0001	افست‌		چافست
2019-04-28 15:35:03 : IRR1OFST0101	ح . افست‌		چافستح
2019-04-28 15:35:03 : IRO1BPRS0001	بسته‌ بندي‌ پارس‌		چبسپا
2019-04-28 15:35:03 : IRR1BPRS0101	ح . بسته‌ بندي‌ پارس‌		چبسپاح
2019-04-28 15:35:03 : IRO1CHDN0001	توليدي چدن سازان		چدن
2019-04-28 15:35:03 : IRO1FIBR0001	فيبر ايران‌		چفيبر
2019-04-28 15:35:03 : IRR1FIBR0101	ح . فيبر ايران‌		چفيبرح
2019-04-28 15:35:03 : IRO1KMSH0001	كارتن‌ مشهد		چكارم
2019-04-28 15:35:03 : IRR1KMSH0101	ح . كارتن‌ مشهد		چكارمح
2019-04-28 15:35:03 : IRO1KRTI0001	كارتن‌ ايران‌		چكارن
2019-04-28 15:35:03 : IRR1KRTI0101	ح . كارتن‌ ايران‌		چكارنح
2019-04-28 15:35:03 : IRO1KSKA0001	صنايع‌كاغذسازي‌كاوه‌		چكاوه
2019-04-28 15:35:03 : IRR1KSKA0101	ح . صنايع‌كاغذسازي‌كاوه‌		چكاوهح
2019-04-28 15:35:03 : IRO1NEOP0001	نيوپان‌ 22 بهمن‌		چنوپا
2019-04-28 15:35:03 : IRR1NEOP0101	ح . نيوپان‌ 22 بهمن‌		چنوپاح
2019-04-28 15:35:03 : IRO1HJPT0001	حمل و نقل پتروشيمي( سهامي عام		حپترو
2019-04-28 15:35:03 : IRR1HJPT0101	ح . حمل و نقل پتروشيمي		حپتروح
2019-04-28 15:35:03 : IRO1TAYD0001	تايدواترخاورميانه		حتايد
2019-04-28 15:35:03 : IRR1TAYD0101	ح . تايدواترخاورميانه‌		حتايدح
2019-04-28 15:35:03 : IRO1HTOK0001	حمل‌ونقل‌توكا		حتوكا
2019-04-28 15:35:03 : IRR1HTOK0101	ح . حمل‌ونقل‌توكا		حتوكاح
2019-04-28 15:35:03 : IRO1HFRS0001	حمل و نقل بين المللي خليج فارس		حفارس
2019-04-28 15:35:03 : IRO1HSHM0001	حفاري شمال		حفاري
2019-04-28 15:35:03 : IRR1HSHM0101	ح . حفاري شمال		حفاريح
2019-04-28 15:35:03 : IRO1KFJR0001	كشتيراني والفجر		حفجر
2019-04-28 15:35:03 : IRO1KSHJ0001	كشتيراني جمهوري اسلامي ايران		حكشتي
2019-04-28 15:35:03 : IRR1KSHJ0101	ح . كشتيراني ج. ا. ا		حكشتيح
2019-04-28 15:35:03 : IRO1AZIN0001	سايپاآذين‌		خاذين
2019-04-28 15:35:03 : IRR1AZIN0101	ح . سايپاآذين‌		خاذينح
2019-04-28 15:35:03 : IRO1ATIR0001	آهنگري‌ تراكتورسازي‌ ايران‌		خاهن
2019-04-28 15:35:03 : IRR1ATIR0101	ح . آهنگري تراكتورسازي‌ ايران‌		خاهنح
2019-04-28 15:35:03 : IRO1KAVR0001	ايران‌ خودروديزل‌		خاور
2019-04-28 15:35:03 : IRR1KAVR0101	ح . ايران‌ خودروديزل‌		خاورح
2019-04-28 15:35:03 : IRO1BHMN0001	گروه‌بهمن‌		خبهمن
2019-04-28 15:35:03 : IRR1BHMN0101	ح . گروه‌بهمن‌		خبهمنح
2019-04-28 15:35:03 : IRO1PKOD0001	پارس‌ خودرو		خپارس
2019-04-28 15:35:03 : IRR1PKOD0101	ح . پارس‌ خودرو		خپارسح
2019-04-28 15:35:03 : IRO1SZPO0001	سازه‌ پويش‌		خپويش
2019-04-28 15:35:03 : IRR1SZPO0101	ح . سازه‌ پويش‌		خپويشح
2019-04-28 15:35:03 : IRO1RTIR0001	ريخته‌گري‌ تراكتورسازي‌ ايران‌		ختراك
2019-04-28 15:35:03 : IRR1RTIR0101	ح . ريخته‌گري‌ تراكتورسازي‌		ختراكح
2019-04-28 15:35:03 : IRO1RADI0001	رادياتور ايران‌		ختور
2019-04-28 15:35:03 : IRR1RADI0101	ح . رادياتور ايران‌		ختورح
2019-04-28 15:35:03 : IRO1GHAT0001	قطعات‌ اتومبيل‌ ايران‌		ختوقا
2019-04-28 15:35:03 : IRR1GHAT0101	ح . قطعات‌ اتومبيل‌ ايران‌		ختوقاح
2019-04-28 15:35:03 : IRO1CHAR0001	چرخشگر		خچرخش
2019-04-28 15:35:03 : IRR1CHAR0101	ح . چرخشگر		خچرخشح
2019-04-28 15:35:03 : IRO1KRSN0001	پتروشيمي خراسان		خراسان
2019-04-28 15:35:03 : IRO1RIIR0001	صنايع‌ريخته‌گري‌ايران‌		خريخت
2019-04-28 15:35:03 : IRR1RIIR0101	ح . صنايع‌ريخته‌گري‌ايران‌		خريختح
2019-04-28 15:35:03 : IRO1RINM0001	رينگ‌سازي‌مشهد		خرينگ
2019-04-28 15:35:03 : IRR1RINM0101	ح . رينگ‌سازي‌مشهد		خرينگح
2019-04-28 15:35:03 : IRO1ZMYD0001	زامياد		خزاميا
2019-04-28 15:35:03 : IRR1ZMYD0101	ح . زامياد		خزامياح
2019-04-28 15:35:03 : IRO1FNAR0001	فنرسازي‌زر		خزر
2019-04-28 15:35:03 : IRR1FNAR0101	ح . فنرسازي‌زر		خزرح
2019-04-28 15:35:03 : IRO1SIPA0001	سايپا		خساپا
2019-04-28 15:35:03 : IRR1SIPA0101	ح . سايپا		خساپاح
2019-04-28 15:35:03 : IRO1KHSH0001	الكتريك‌ خودرو شرق‌		خشرق
2019-04-28 15:35:03 : IRR1KHSH0101	ح . الكتريك‌ خودرو شرق‌		خشرقح
2019-04-28 15:35:03 : IRO1SDRA0001	حذف-صنعتي‌ دريايي‌ ايران‌		خصدرا
2019-04-28 15:35:03 : IRR1SDRA0101	حذف-ح . صنعتي‌ دريايي‌ ايران‌		خصدراح
2019-04-28 15:35:03 : IRO1KFAN0001	فنرسازي‌خاور		خفنر
2019-04-28 15:35:03 : IRR1KFAN0101	ح . فنرسازي‌خاور		خفنرح
2019-04-28 15:35:03 : IRO1KRIR0001	ايركا پارت صنعت		خكار
2019-04-28 15:35:03 : IRR1KRIR0101	ح.ايركا پارت صنعت		خكارح
2019-04-28 15:35:03 : IRO1SPDZ0001	سايپا ديزل‌		خكاوه
2019-04-28 15:35:03 : IRR1SPDZ0101	ح . سايپا ديزل‌		خكاوهح
2019-04-28 15:35:03 : IRO1INDM0001	كمك‌فنرايندامين‌		خكمك
2019-04-28 15:35:03 : IRR1INDM0101	ح . كمك‌فنرايندامين‌		خكمكح
2019-04-28 15:35:03 : IRO1GOST0001	گسترش‌سرمايه‌گذاري‌ايران‌خودرو		خگستر
2019-04-28 15:35:03 : IRR1GOST0101	ح . سرمايه‌گذاري‌ايران‌خودرو		خگسترح
2019-04-28 15:35:03 : IRO1LENT0001	لنت‌ ترمزايران‌		خلنت
2019-04-28 15:35:03 : IRR1LENT0101	ح . لنت‌ ترمزايران‌		خلنتح
2019-04-28 15:35:03 : IRO1NMOH0001	نيرو محركه‌		خمحركه
2019-04-28 15:35:03 : IRR1NMOH0101	ح . نيرو محركه‌		خمحركهح
2019-04-28 15:35:03 : IRO1TMKH0001	توليدمحورخودرو		خمحور
2019-04-28 15:35:03 : IRR1TMKH0101	ح . توليدمحورخودرو		خمحورح
2019-04-28 15:35:03 : IRO1MHKM0001	مهركام‌پارس‌		خمهر
2019-04-28 15:35:03 : IRR1MHKM0101	ح . مهركام‌پارس‌		خمهرح
2019-04-28 15:35:03 : IRO1MSTI0001	موتورسازان‌تراكتورسازي‌ايران‌		خموتور
2019-04-28 15:35:03 : IRR1MSTI0101	ح . موتورسازان‌تراكتورسازي‌		خموتورح
2019-04-28 15:35:03 : IRO1MNSR0001	مهندسي‌نصيرماشين‌		خنصير
2019-04-28 15:35:03 : IRR1MNSR0101	ح . مهندسي‌نصيرماشين‌		خنصيرح
2019-04-28 15:35:03 : IRO1IKCO0001	ايران‌ خودرو		خودرو
2019-04-28 15:35:03 : IRR1IKCO0101	ح . ايران‌ خودرو		خودروح
2019-04-28 15:35:03 : IRO1MESI0001	محورسازان‌ايران‌خودرو		خوساز
2019-04-28 15:35:03 : IRR1MESI0101	ح . محورسازان‌ايران‌خودرو		خوسازح
2019-04-28 15:35:03 : IRO1DABO0001	داروسازي‌ ابوريحان‌		دابور
2019-04-28 15:35:03 : IRR1DABO0101	ح . داروسازي‌ ابوريحان‌		دابورح
2019-04-28 15:35:03 : IRO1DPAK0001	كارخانجات‌داروپخش‌		دارو
2019-04-28 15:35:03 : IRR1DPAK0101	ح . كارخانجات‌داروپخش		داروح
2019-04-28 15:35:03 : IRO1DOSE0001	داروسازي‌ اسوه‌		داسوه
2019-04-28 15:35:03 : IRR1DOSE0101	ح . داروسازي‌ اسوه‌		داسوهح
2019-04-28 15:35:03 : IRO1DALZ0001	البرزدارو		دالبر
2019-04-28 15:35:03 : IRR1DALZ0101	ح . البرزدارو		دالبرح
2019-04-28 15:35:03 : IRO1AMIN0001	داروسازي‌ امين‌		دامين
2019-04-28 15:35:03 : IRR1AMIN0101	ح . داروسازي‌ امين‌		دامينح
2019-04-28 15:35:03 : IRO1BDAN0001	بيمه دانا		دانا
2019-04-28 15:35:03 : IRR1BDAN0101	ح . بيمه دانا		داناح
2019-04-28 15:35:03 : IRO1PDRO0001	پارس‌ دارو		دپارس
2019-04-28 15:35:03 : IRR1PDRO0101	ح . پارس‌ دارو		دپارسح
2019-04-28 15:35:03 : IRO1TMVD0001	توليدمواداوليه‌داروپخش‌		دتماد
2019-04-28 15:35:03 : IRR1TMVD0101	ح . توليدمواداوليه‌داروپخش‌		دتمادح
2019-04-28 15:35:03 : IRO1THDR0001	داروسازي‌ تهران‌ دارو		دتهران
2019-04-28 15:35:03 : IRR1THDR0101	ح . داروسازي‌ تهران‌ دارو		دتهرانح
2019-04-28 15:35:03 : IRO1DJBR0001	داروسازي‌ جابرابن‌حيان‌		دجابر
2019-04-28 15:35:03 : IRR1DJBR0101	ح . داروسازي‌ جابرابن‌حيان‌		دجابرح
2019-04-28 15:35:03 : IRO1DAML0001	داروسازي زاگرس فارمد پارس		ددام
2019-04-28 15:35:03 : IRR1DAML0101	ح . داروسازي زاگرس فارمد پارس		ددامح
2019-04-28 15:35:03 : IRO1DRZK0001	دارويي‌ رازك‌		درازك
2019-04-28 15:35:03 : IRR1DRZK0101	ح . دارويي‌ رازك‌		درازكح
2019-04-28 15:35:03 : IRO1ROZD0001	داروسازي‌ روزدارو		دروز
2019-04-28 15:35:03 : IRR1ROZD0101	ح . داروسازي‌ روزدارو		دروزح
2019-04-28 15:35:03 : IRO1DZAH0001	داروسازي‌زهراوي‌		دزهراوي
2019-04-28 15:35:03 : IRR1DZAH0101	ح . ‌داروسازي‌زهراوي‌		دزهراويح
2019-04-28 15:35:03 : IRO1DSOB0001	گروه دارويي سبحان		دسبحا
2019-04-28 15:35:03 : IRO1DSBH0001	سبحان دارو		دسبحان
2019-04-28 15:35:03 : IRR1DSBH0101	ح. سبحان دارو		دسبحانح
2019-04-28 15:35:03 : IRO1DSIN0001	داروسازي‌ سينا		دسينا
2019-04-28 15:35:03 : IRR1DSIN0101	ح . داروسازي‌ سينا		دسيناح
2019-04-28 15:35:03 : IRO1DDPK0001	شيمي‌ داروئي‌ داروپخش‌		دشيمي
2019-04-28 15:35:03 : IRR1DDPK0101	ح . شيمي‌ داروئي‌ داروپخش‌		دشيميح
2019-04-28 15:35:03 : IRO1ABDI0001	لابراتوارداروسازي‌ دكترعبيدي‌		دعبيد
2019-04-28 15:35:03 : IRR1ABDI0101	ح . داروسازي‌ دكترعبيدي‌		دعبيدح
2019-04-28 15:35:03 : IRO1DFRB0001	داروسازي‌ فارابي‌		دفارا
2019-04-28 15:35:03 : IRR1DFRB0101	ح . داروسازي‌ فارابي‌		دفاراح
2019-04-28 15:35:03 : IRO1FTIR0001	فرآورده‌هاي‌ تزريقي‌ ايران‌		دفرا
2019-04-28 15:35:03 : IRR1FTIR0101	ح . فرآورده‌هاي‌ تزريقي‌		دفراح
2019-04-28 15:35:03 : IRO1DKSR0001	داروسازي‌ كوثر		دكوثر
2019-04-28 15:35:03 : IRR1DKSR0101	ح . داروسازي‌ كوثر		دكوثرح
2019-04-28 15:35:03 : IRO1KIMI0001	كيميدارو		دكيمي
2019-04-28 15:35:03 : IRR1KIMI0101	ح . كيميدارو		دكيميح
2019-04-28 15:35:03 : IRO1EXIR0001	داروسازي‌ اكسير		دلر
2019-04-28 15:35:03 : IRR1EXIR0101	ح . داروسازي‌ اكسير		دلرح
2019-04-28 15:35:03 : IRO1DLGM0001	دارويي‌ لقمان‌		دلقما
2019-04-28 15:35:03 : IRR1DLGM0101	ح . دارويي‌ لقمان‌		دلقماح
2019-04-28 15:35:03 : IRO1IRDR0001	ايران‌دارو		ديران
2019-04-28 15:35:03 : IRR1IRDR0101	ح . ‌ايران‌دارو		ديرانح
2019-04-28 15:35:03 : IRO1PRDS0001	ديس شپ		ديسشپ
2019-04-28 15:35:03 : IRO1INFO0001	خدمات‌انفورماتيك‌		رانفور
2019-04-28 15:35:03 : IRR1INFO0101	ح . خدمات‌انفورماتيك‌		رانفورح
2019-04-28 15:35:03 : IRO1EPRS0001	تجارت الكترونيك پارسيان		رتاپ
2019-04-28 15:35:03 : IRR1EPRS0101	ح.تجارت الكترونيك پارسيان		رتاپح
2019-04-28 15:35:03 : IRO1TKIN0001	كنترل‌خوردگي‌تكين‌كو		رتكو
2019-04-28 15:35:03 : IRR1TKIN0101	ح . كنترل‌خوردگي‌تكين‌كو		رتكوح
2019-04-28 15:35:03 : IRO1RKSH0001	كارت اعتباري ايران كيش		ركيش
2019-04-28 15:35:03 : IRR1RKSH0101	ح. كارت اعتباري ايران كيش		ركيشح
2019-04-28 15:35:03 : IRO1MAPN0001	گروه مپنا (سهامي عام)		رمپنا
2019-04-28 15:35:03 : IRR1MAPN0101	ح. گروه مپنا (سهامي عام)		رمپناح
2019-04-28 15:35:03 : IRO1ZPRS0001	ملي كشت و صنعت و دامپروري پارس		زپارس
2019-04-28 15:35:03 : IRO1MAGS0001	كشاورزي‌ ودامپروي‌ مگسال‌		زمگسا
2019-04-28 15:35:03 : IRR1MAGS0101	ح . كشاورزي‌ ودامپروي‌ مگسال‌		زمگساح
2019-04-28 15:35:03 : IRO1ABIK0001	سيمان آبيك		سابيك
2019-04-28 15:35:03 : IRO1AZRT0001	آذريت‌		ساذري
2019-04-28 15:35:03 : IRR1AZRT0101	ح . آذريت‌		ساذريح
2019-04-28 15:35:03 : IRO1SDAB0001	سيمان‌ داراب‌		ساراب
2019-04-28 15:35:03 : IRR1SDAB0101	ح . سيمان‌ داراب‌		سارابح
2019-04-28 15:35:03 : IRO1SADB0001	سيمان آرتا اردبيل		ساربيل
2019-04-28 15:35:03 : IRR1SADB0101	ح . سيمان آرتا اردبيل		ساربيلح
2019-04-28 15:35:03 : IRO1SURO0001	سيمان‌اروميه‌		ساروم
2019-04-28 15:35:03 : IRR1SURO0101	ح . سيمان‌اروميه‌		سارومح
2019-04-28 15:35:03 : IRO1SAVE0001	سيمان‌سفيدساوه‌		ساوه
2019-04-28 15:35:03 : IRO1IRNT0001	ايرانيت‌		سايرا
2019-04-28 15:35:03 : IRR1IRNT0101	ح . ايرانيت‌		سايراح
2019-04-28 15:35:03 : IRO1SBOJ0001	سيمان‌ بجنورد		سبجنو
2019-04-28 15:35:03 : IRR1SBOJ0101	ح . سيمان‌ بجنورد		سبجنوح
2019-04-28 15:35:03 : IRO1SBHN0001	سيمان‌ بهبهان‌		سبهان
2019-04-28 15:35:03 : IRR1SBHN0101	ح . سيمان‌ بهبهان‌		سبهانح
2019-04-28 15:35:03 : IRO1SEPK0001	پرداخت الكترونيك سامان كيش		سپ
